"Timestamp","What is your gender?","What is your age?","What is the District you are from?","What is your marital status?","Select your highest education level","What is your Employment?","What is your monthly income range (If you don’t have a job, select NA)","How long are you using a smartphone?","What is the distance(km) to your nearest bank ?","In how many banks do you have accounts","Select the types of accounts you have ","Select the types of banks where you have accounts","How many deposit transactions do you do for Last Month?","How many deposit transactions do you do for the Month before Last Month?","How many withdrawal transactions do you do for Last Month?","How many withdrawal transactions do you do for the Month before Last Month?","What are the reasons you use the bank counter or ATM for?","Do you know that there are mobile banking app to do banking works in your bank?","Do you know the features what we can do using mobile banking apps?","Do you have an idea to use a mobile banking app in near future","What are the reasons to not use a mobile banking app?"
"2020/11/01 11:52:56 am GMT+5:30","Female","25-45","Kandy","Married","Degree / Diploma","Private Sector - Employee","15,000 - 50,000","2 to 5 years","1-3","3","Saving accounts;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal","Yes","Yes","No","Not satisfied with the service charges"
"2020/11/01 11:56:02 am GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","Less than 15,000","1 to  2 years","1-3","3","Saving accounts;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money Transaction","Yes","Yes","Yes","Fear to start with lack of experience"
"2020/11/01 12:09:14 pm GMT+5:30","Male","25-45","Kandy","Single","Degree / Diploma","Private Sector - Employee","50,000 - 100,000","2 to 5 years","1-3","5","Saving accounts;Loan;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Credit card payment;Just to check the account balance/status;Pay loan EMI","Yes","Yes","Yes","Not satisfied with the service charges;Fear to start with lack of experience"
"2020/11/01 12:10:11 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Family Business / Self Employed","15,000 - 50,000","1 to  2 years","1-3","2","Saving accounts","Private banks;Government banks","5 - 10","1 - 5","5 - 10","5 - 10","Money withdrawal;Money deposit","Yes","Yes","Yes","Not satisfied with the security measurements"
"2020/11/01 12:10:22 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","NA","More than 5 years","Less than 1","4","Saving accounts","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:10:45 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Unemployed","NA","More than 5 years","3-9","1","Saving accounts","Private banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal","Yes","No","Yes","Not satisfied with the service charges;Not satisfied with the security measurements"
"2020/11/01 12:12:26 pm GMT+5:30","Male","16-25","Kalutara","Single","Advance Level","Student","15,000 - 50,000","2 to 5 years","3-9","2","Saving accounts","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit","Yes","Yes","Yes","Not satisfied with the security measurements"
"2020/11/01 12:12:47 pm GMT+5:30","Female","16-25","Matara","Single","Degree / Diploma","Student","NA","2 to 5 years","Less than 1","1","Current accounts","Government banks","Non","Non","Non","Non","Money withdrawal","Yes","Yes","No","Fear to start with lack of experience"
"2020/11/01 12:13:07 pm GMT+5:30","Male","16-25","Kandy","Single","Degree / Diploma","Student","NA","2 to 5 years","1-3","3","Saving accounts","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Paying Bills","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:13:17 pm GMT+5:30","Male","16-25","Jaffna","Single","Degree / Diploma","Student","15,000 - 50,000","2 to 5 years","Less than 1","3","Saving accounts","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:14:09 pm GMT+5:30","Female","16-25","Kurunegala","Single","Degree / Diploma","Student","","1 to  2 years","1-3","3","Saving accounts","Government banks","Non","Non","Non","Non","Money withdrawal","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:14:27 pm GMT+5:30","Male","16-25","Gampaha","Single","Advance Level","Student","NA","More than 5 years","1-3","3","Saving accounts","Private banks;Government banks","1 - 5","Non","1 - 5","1 - 5","Money withdrawal;Money deposit;Just to check the account balance/status","Yes","Yes","Yes","Not satisfied with the security measurements;Fear to start with lack of experience"
"2020/11/01 12:16:29 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","NA","2 to 5 years","Less than 1","2","Saving accounts","Private banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Money Transaction","Yes","Yes","Yes","Fear to start with lack of experience"
"2020/11/01 12:17:27 pm GMT+5:30","Male","16-25","Galle","Single","Degree / Diploma","Private Sector- Executive","50,000 - 100,000","More than 5 years","More than 9","4","Saving accounts;Fixed Deposit","Private banks","5 - 10","5 - 10","10 - 30","10 - 30","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Just to check the account balance/status","Yes","Yes","Yes","Not satisfied with the security measurements"
"2020/11/01 12:18:06 pm GMT+5:30","Male","16-25","Matale","Single","Degree / Diploma","Student","NA","More than 5 years","Less than 1","4","Current accounts;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit","Yes","Yes","Yes","Not satisfied with the security measurements"
"2020/11/01 12:18:54 pm GMT+5:30","Female","16-25","Hambantota","Single","Degree / Diploma","Student","NA","1 to  2 years","1-3","2","Saving accounts","Private banks;Government banks","Non","1 - 5","Non","1 - 5","Money withdrawal;Money deposit","Yes","Yes","Yes","Fear to start with lack of experience"
"2020/11/01 12:19:33 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","NA","2 to 5 years","3-9","1","Saving accounts","Government banks","Non","Non","1 - 5","Non","Money withdrawal","Yes","Yes","Yes","Fear to start with lack of experience"
"2020/11/01 12:20:22 pm GMT+5:30","Male","16-25","Kalutara","Single","Advance Level","Student","NA","2 to 5 years","3-9","3","Saving accounts","Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Paying Bills;Just to check the account balance/status","Yes","Yes","Yes","Not satisfied with the service charges;Not satisfied with the security measurements;Fear to start with lack of experience"
"2020/11/01 12:21:29 pm GMT+5:30","Male","16-25","Kalutara","Single","Advance Level","Student","Less than 15,000","More than 5 years","1-3","2","Saving accounts","Private banks","Non","Non","Non","Non","Money withdrawal;Money deposit","No","No","No","Not satisfied with the service charges"
"2020/11/01 12:21:54 pm GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Student","NA","1 to  2 years","Less than 1","2","Saving accounts","Private banks;Government banks","1 - 5","","1 - 5","Non","Money withdrawal;Money deposit;Paying Bills","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:23:44 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","Less than 15,000","More than 5 years","3-9","2","Saving accounts;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Paying Bills;Money Transaction","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:23:48 pm GMT+5:30","Female","16-25","Kalutara","Single","Degree / Diploma","Student","50,000 - 100,000","2 to 5 years","Less than 1","2","Saving accounts","Government banks","Non","Non","Non","Non","Paying Bills;Money Transaction;Just to check the account balance/status","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:23:57 pm GMT+5:30","Female","16-25","Kalutara","Single","Degree / Diploma","Student","50,000 - 100,000","2 to 5 years","Less than 1","2","Saving accounts","Government banks","Non","Non","Non","Non","Paying Bills;Money Transaction;Just to check the account balance/status","Yes","Yes","Yes","Not satisfied with the service charges"
"2020/11/01 12:24:23 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Unemployed","NA","More than 5 years","3-9","3","Saving accounts;Loan;Fixed Deposit","Private banks;Government banks","5 - 10","5 - 10","5 - 10","5 - 10","Money withdrawal;Money deposit","Yes","Yes","Yes","Fear to start with lack of experience"
"2020/11/01 12:24:25 pm GMT+5:30","Female","16-25","Kurunegala","","Advance Level","Student","","1 to  2 years","1-3","1","Saving accounts","Government banks","","","","","Money withdrawal","Yes","No","Yes","Fear to start with lack of experience"
"2020/11/01 12:24:31 pm GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","Less than 15,000","More than 5 years","3-9","2","Saving accounts;Fixed Deposit","Private banks;Government banks","1 - 5","1 - 5","1 - 5","1 - 5","Money withdrawal;Money deposit;Paying Bills;Money Transaction","Yes","Yes","Yes","Not satisfied with the service charges"
